N,A,B,C,seed,Z_est,Z_std,rel_error,time_seconds
100000,20,5,1000,11,1206.9808935684257,2189.3106695626375,0.025299790376452417,1.876190185546875
100000,20,5,1000,23,258.3522100807087,526.4086996316742,0.7913670757638238,4.13594913482666
100000,20,5,1000,42,205.17601118892162,234.78231665211737,0.8343096380554033,1.8821120262145996
100000,20,5,1000,77,174.25587632504707,118.41127719025356,0.8592792644132031,2.0088582038879395
100000,20,5,1000,101,370.78102858954844,552.9400126783609,0.7005749235829315,3.1416468620300293
100000,20,10,500,11,659.7172893005127,1757.8105747429913,0.4672437785884188,1.399271011352539
100000,20,10,500,23,1121.1091756764097,1687.3287029157666,0.09464569458760067,1.4203169345855713
100000,20,10,500,42,4728.384684355699,14347.613065452266,2.818417977932137,1.4199481010437012
100000,20,10,500,77,274.9298731716284,270.0483534571908,0.7779797456280366,1.5246808528900146
100000,20,10,500,101,224.48739799425644,411.44366203742055,0.8187146830171078,1.449375867843628
100000,20,20,250,11,733.4320173651993,2415.8897158336185,0.4077152796040067,1.6873500347137451
100000,20,20,250,23,494.35179324153233,861.218364878667,0.6007850670479717,1.5147991180419922
100000,20,20,250,42,352.2860699738816,671.671303912742,0.7155105701501051,1.2301859855651855
100000,20,20,250,77,693.1345826078216,1418.0212817953955,0.4402575661593328,1.1732299327850342
100000,20,20,250,101,469.97617874330615,789.8359604448852,0.6204696508617891,1.1651227474212646
100000,20,25,200,11,1608.0342727336474,4472.774611177101,0.29857179269961603,1.1198761463165283
100000,20,25,200,23,385.643911090571,663.1622904599919,0.6885723684749325,1.1208901405334473
100000,20,25,200,42,464.0823769177369,904.2757737314145,0.6252292041450875,1.1161532402038574
100000,20,25,200,77,312.7261427023699,1011.6339023702069,0.74745728083103,1.1194179058074951
100000,20,25,200,101,979.0493288225849,2580.1736904786094,0.20936645217816993,1.1302289962768555
100000,20,50,100,11,1159.953946892947,1660.8113203827263,0.06327650983141196,1.0252881050109863
100000,20,50,100,23,1718.602667696687,6997.370853629307,0.38786155554713714,1.0165510177612305
100000,20,50,100,42,1256.2495682621902,3746.324462183008,0.014487241719730636,1.0152959823608398
100000,20,50,100,77,1484.8808838824148,4343.033444662775,0.19911898895700103,1.0235657691955566
100000,20,50,100,101,1032.2218822472557,3486.8348741123273,0.16642683379198397,1.022468090057373
100000,20,100,50,11,775.1076448801562,1787.55615995169,0.3740600303026486,0.9767100811004639
100000,20,100,50,23,995.6335113009649,3073.1922664843705,0.19597385729597455,0.9800009727478027
100000,20,100,50,42,753.8167946576598,1887.1848661420686,0.39125350559750366,0.9649667739868164
100000,20,100,50,77,809.6035304945894,2896.44827628958,0.34620279816359495,1.0150539875030518
100000,20,100,50,101,498.55577029099896,1391.8231218801832,0.5973901356673654,1.987584114074707
100000,20,200,25,11,587.8425527044852,2170.4869556029835,0.5252863882105683,1.9524321556091309
100000,20,200,25,23,679.8224867806715,2569.4066075372293,0.451007779905377,0.9491181373596191
100000,20,200,25,42,989.203512948442,2364.190277971921,0.20116641732362653,0.9535520076751709
100000,20,200,25,77,1151.3875522299923,4751.767018953606,0.07019432163621554,0.9441320896148682
100000,20,200,25,101,902.3413806319927,4089.9204067131122,0.27131213299181883,0.9454338550567627
100000,50,5,400,11,510.463649293955,425.9183762754651,0.587773900462483,1.943432092666626
100000,50,5,400,23,953.499550882871,967.8595063065853,0.22999923439235043,1.9393081665039062
100000,50,5,400,42,1306.606057272402,1948.499469394368,0.05515274078081976,1.9332900047302246
100000,50,5,400,77,819.3685322802233,1061.7619462016114,0.33831704840719906,1.9402899742126465
100000,50,5,400,101,774.6157607050656,1014.7095087355835,0.37445725250486084,1.9383890628814697
100000,50,10,200,11,625.3791480648368,533.6448600128982,0.49497362388990024,1.4524860382080078
100000,50,10,200,23,1788.8487057676216,1905.630577607306,0.4445889059118445,1.5329508781433105
100000,50,10,200,42,931.0305544814088,1222.6613024111196,0.24814412435642202,1.454552173614502
100000,50,10,200,77,328.85881904600893,363.45531031421865,0.7344293007712592,1.4505980014801025
100000,50,10,200,101,745.8338579169676,1348.143322391013,0.39770014460896286,1.4778950214385986
100000,50,20,100,11,1232.9059584533775,2377.5579490469117,0.004363944322453533,1.3560919761657715
100000,50,20,100,23,840.1483175135456,665.134363951784,0.32153628482529134,1.3852169513702393
100000,50,20,100,42,892.9241313534733,1017.6141273013773,0.27891705440752784,2.822787046432495
100000,50,20,100,77,815.7502257283725,831.2576774263332,0.34123902022412195,1.3604590892791748
100000,50,20,100,101,1236.9633269646522,1529.8140448589047,0.0010874070056387092,3.9790842533111572
100000,50,25,80,11,764.6442779445878,974.1158362691791,0.3825097464496163,2.1570000648498535
100000,50,25,80,23,928.6130530624902,1338.4702833874069,0.2500963832134937,1.181614637374878
100000,50,25,80,42,1516.01071406129,3043.839338710179,0.2242579552509815,2.1618428230285645
100000,50,25,80,77,1925.970444728215,3734.589725850561,0.5553218830625377,3.4082367420196533
100000,50,25,80,101,1401.0277391948991,2139.9958848152473,0.1314031882015505,1.1976702213287354
100000,50,50,40,11,982.2884956152535,1290.216445353742,0.20675065554986918,1.0774240493774414
100000,50,50,40,23,1250.7616961821113,2911.810491312141,0.010055497940402235,1.451045036315918
100000,50,50,40,42,1373.48481948029,2190.1824383737267,0.10916083974141554,1.1084511280059814
100000,50,50,40,77,1053.5034508623796,1246.252682289686,0.14924085388061,1.0944077968597412
100000,50,50,40,101,977.9543840208948,1136.6833566836553,0.21025067738291053,1.0742123126983643
100000,50,100,20,11,1088.9434779953212,2149.2483993477185,0.12062117807661676,1.0960900783538818
100000,50,100,20,23,1298.8172967390626,3856.9240069148436,0.04886290921429947,1.3429169654846191
100000,50,100,20,42,1204.8486577723359,2596.731594065835,0.027021682320633206,2.15329909324646
100000,50,100,20,77,1132.3514618127967,2288.0414498794867,0.08556696044012994,1.141819953918457
100000,50,100,20,101,1106.0146412722268,2673.9561794711944,0.10683532072528472,1.0750641822814941
