A,B,C,N_total,trial,Z_est,Z_true,rel_error,logw_std,time_sec
200,100,10,200000,0,0.03540491308591548,1.0045369804739377,0.9647549928234482,,2.0334231853485107
200,100,10,200000,1,0.03467740578701137,1.0045369804739377,0.9654792143434573,,2.0067028999328613
200,100,10,200000,2,0.9308101456699073,1.0045369804739377,0.07339384834717215,,1.9966859817504883
200,100,10,200000,3,0.026423221255777826,1.0045369804739377,0.9736961189389848,,2.002744197845459
200,100,10,200000,4,0.13111904180378128,1.0045369804739377,0.869473155939048,,2.0353200435638428
200,100,10,200000,5,0.019642163280702958,1.0045369804739377,0.9804465503386088,,1.9891610145568848
200,100,10,200000,6,0.09317252500627685,1.0045369804739377,0.9072482877013465,,1.9830958843231201
200,100,10,200000,7,0.2226905253080445,1.0045369804739377,0.7783152540556748,,2.0137269496917725
200,100,10,200000,8,0.6986945100494841,1.0045369804739377,0.3044611361944664,,1.9755570888519287
200,100,10,200000,9,9.384143199398691,1.0045369804739377,8.341759817514411,,1.9791538715362549
200,100,10,200000,10,1.4847841899343022,1.0045369804739377,0.47807817810130315,,1.9801599979400635
200,100,10,200000,11,0.14074525064213755,1.0045369804739377,0.8598904237694321,,1.9779810905456543
200,100,10,200000,12,0.7591491969636156,1.0045369804739377,0.24427949222391876,,2.0285491943359375
200,100,10,200000,13,10.028097367237217,1.0045369804739377,8.982805573276146,,1.977874994277954
200,100,10,200000,14,0.7154154950803315,1.0045369804739377,0.28781567131276686,,1.9822540283203125
200,100,10,200000,15,0.3756456813957486,1.0045369804739377,0.6260509182862337,,2.0045599937438965
200,100,10,200000,16,1.668030160218514,1.0045369804739377,0.6604965199305475,,1.9795069694519043
200,100,10,200000,17,0.29200357448657466,1.0045369804739377,0.7093152565186717,,1.979532241821289
200,100,10,200000,18,0.006405537863747007,1.0045369804739377,0.9936233926791577,,1.977510929107666
200,100,10,200000,19,0.23283318206849535,1.0045369804739377,0.7682184064954529,,1.9754281044006348
200,100,50,1000000,0,4.906920909061557,1.0045369804739377,3.8847588535232283,,9.942604064941406
200,100,50,1000000,1,1.0025373110615516,1.0045369804739377,0.0019906379269806606,,10.53935694694519
200,100,50,1000000,2,1.0151614875601502,1.0045369804739377,0.010576521614166888,,10.30256986618042
200,100,50,1000000,3,1.3946267221063586,1.0045369804739377,0.3883279055076476,,10.309046983718872
200,100,50,1000000,4,4.657884956421373,1.0045369804739377,3.6368476690861065,,10.199916124343872
200,100,50,1000000,5,7.312025857636636,1.0045369804739377,6.279001171451989,,10.020692110061646
200,100,50,1000000,6,2.0064677001879345,1.0045369804739377,0.9974055103887651,,10.25146198272705
200,100,50,1000000,7,0.9622493440805066,1.0045369804739377,0.042096644738235475,,17.263057231903076
200,100,50,1000000,8,7.031337500705971,1.0045369804739377,5.999580540468113,,10.290059089660645
200,100,50,1000000,9,2.7693877509779945,1.0045369804739377,1.7568798409705189,,9.954223871231079
200,100,50,1000000,10,2.349297688984004,1.0045369804739377,1.3386871112257233,,11.309961080551147
200,100,50,1000000,11,4.306721773591544,1.0045369804739377,3.2872705109966636,,10.907857179641724
200,100,50,1000000,12,3.921282693494511,1.0045369804739377,2.9035722623615716,,10.109976291656494
200,100,50,1000000,13,2.02789857610435,1.0045369804739377,1.0187395939844774,,10.072157859802246
200,100,50,1000000,14,2.942911828617651,1.0045369804739377,1.9296201989788306,,10.64235806465149
200,100,50,1000000,15,4.387041064186499,1.0045369804739377,3.3672270403790465,,10.285380840301514
200,100,50,1000000,16,10.826899884525549,1.0045369804739377,9.778000307581955,,10.178063869476318
200,100,50,1000000,17,3.1038240428263366,1.0045369804739377,2.0898056549017854,,10.707784175872803
200,100,50,1000000,18,4.967692579556506,1.0045369804739377,3.9452560494216584,,10.407871961593628
200,100,50,1000000,19,11.551725198439819,1.0045369804739377,10.499551955757514,,10.583856105804443
200,100,100,2000000,0,3.589701934653387,1.0045369804739377,2.573489084453392,,20.769876956939697
200,100,100,2000000,1,1.7442874981928917,1.0045369804739377,0.7364094424577001,,20.519011735916138
200,100,100,2000000,2,3.2700224627124284,1.0045369804739377,2.2552534414110283,,21.22999405860901
200,100,100,2000000,3,8.895586004042686,1.0045369804739377,7.855409185479438,,21.19989824295044
200,100,100,2000000,4,4.877356486393669,1.0045369804739377,3.855327958252514,,20.486507892608643
200,100,100,2000000,5,7.489694894391248,1.0045369804739377,6.45586776791197,,20.83960199356079
200,100,100,2000000,6,3.7144362933832156,1.0045369804739377,2.6976600817928627,,20.92863893508911
200,100,100,2000000,7,10.734405666157492,1.0045369804739377,9.685923838356882,,21.159192085266113
200,100,100,2000000,8,8.126355815739895,1.0045369804739377,7.089653217053198,,20.598828077316284
200,100,100,2000000,9,4.2138829681063985,1.0045369804739377,3.1948510109785113,,21.684349060058594
200,100,100,2000000,10,5.119330585101695,1.0045369804739377,4.09620918354485,,21.245285034179688
200,100,100,2000000,11,4.586645785824894,1.0045369804739377,3.5659302494378333,,21.039005041122437
200,100,100,2000000,12,3.8204446072415994,1.0045369804739377,2.8031896102412523,,21.029611825942993
200,100,100,2000000,13,8.624394857472108,1.0045369804739377,7.585442870807149,,20.826289176940918
200,100,100,2000000,14,10.162294794425803,1.0045369804739377,9.116396899227404,,20.752209901809692
200,100,100,2000000,15,2.317449738597861,1.0045369804739377,1.3069830017651463,,21.03596806526184
200,100,100,2000000,16,5.326396376720314,1.0045369804739377,4.302339764741499,,21.210689783096313
200,100,100,2000000,17,6.883597368409096,1.0045369804739377,5.852507674890609,,30.557992935180664
200,100,100,2000000,18,11.341440561550565,1.0045369804739377,10.290217067170294,,24.867198944091797
