tn_type,param_name,param_value,A,B,C,trial,beta_idx,beta_mid,beta_left,beta_right,delta_beta,step_error,step_error_metric,E_L1,E_L2,Z1_log_error,Z_true_final
uniform1,jitter,0.05,200,40,200,0,0,0.03353479868576581,0.0,0.06706959737153162,0.06706959737153162,0.0232298451395885,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,1,0.0983552306115077,0.06706959737153162,0.12964086385148377,0.06257126647995215,0.02170757967543238,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,2,0.15882818226654127,0.12964086385148377,0.18801550068159878,0.05837463683011501,0.0002974588956956119,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,3,0.2152452374022037,0.18801550068159878,0.2424749741228086,0.05445947344120983,0.0025885896771359364,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,4,0.26787842336502976,0.2424749741228086,0.2932818726072509,0.05080689848444231,0.004682010057092267,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,5,0.31698152273694813,0.2932818726072509,0.34068117286664534,0.04739930025939443,0.02160106128873733,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,6,0.3627912970042976,0.34068117286664534,0.3849014211419498,0.04422024827530446,0.0005120871517221327,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,7,0.40552862815585516,0.3849014211419498,0.4261558351697605,0.041254414027810715,0.016455900257264396,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,8,0.445399583714344,0.4261558351697605,0.4646433322589275,0.03848749708916699,0.018372142630116425,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,9,0.48259641033670675,0.4646433322589275,0.500549488414486,0.03590615615555848,0.00048656063064850263,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,10,0.517298460774009,0.500549488414486,0.5340474331335319,0.03349794471904588,0.0007597941302924655,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,11,0.5496730586605147,0.5340474331335319,0.5652986841874976,0.031251251053965756,0.023554960362714115,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,12,0.5798763053017073,0.5652986841874976,0.5944539264159171,0.029155242228419476,0.003703447279960354,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,13,0.608053832351362,0.5944539264159171,0.621653738286807,0.027199811870889934,0.00790341167377584,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,14,0.634341504006871,0.621653738286807,0.647029269726935,0.02537553144012794,0.0004996828795481752,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,15,0.6588660721086099,0.647029269726935,0.670702874490285,0.02367360476335001,0.016621281938768617,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,16,0.6817457873020546,0.670702874490285,0.6927887001138242,0.022085825623539224,0.02221951273050051,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,17,0.7030909692094995,0.6927887001138242,0.7133932383051749,0.020604538191350663,0.01525737144249538,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,18,0.7230045383605901,0.7133932383051749,0.7326158384160053,0.019222600110830435,0.003907857843554484,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,19,0.7415825124464868,0.7326158384160053,0.7505491864769683,0.017933348060963028,0.007413331657999126,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,20,0.7589144692904637,0.7505491864769683,0.7672797521039592,0.016730565626990823,0.0014360704124516017,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,21,0.7750839787672543,0.7672797521039592,0.7828882054305496,0.015608453326590443,0.00836878660056915,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,22,0.7901690057537414,0.7828882054305496,0.7974498060769333,0.014561600646383677,0.0011953641606466722,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,23,0.8042422860539061,0.7974498060769333,0.811034766030879,0.013584959953945708,0.003263695726485145,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,24,0.8173716771106421,0.811034766030879,0.8237085881904052,0.012673822159526171,0.011638166974429076,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,25,0.8296204851954694,0.8237085881904052,0.8355323822005336,0.011823794010128452,0.002234473577685926,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,26,0.8410477706537662,0.8355323822005336,0.8465631591069988,0.011030776906465145,0.01813372052797266,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,27,0.8517086326773254,0.8465631591069988,0.8568541062476521,0.010290947140653373,0.0016688436251868742,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,28,0.8616544749773312,0.8568541062476521,0.8664548437070101,0.009600737459357966,0.0031644841728035913,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,29,0.8709332536387546,0.8664548437070101,0.8754116635704992,0.008956819863489063,0.0004377710542209576,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,30,0.8795897083512569,0.8754116635704992,0.8837677531320147,0.008356089561515567,0.0015686598618618163,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,31,0.8876655781315268,0.8837677531320147,0.891563403131039,0.007795649999024268,0.0007326876199368389,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,32,0.8951998025772092,0.891563403131039,0.8988362020233793,0.0072727988923403375,0.017305317439066624,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,33,0.9022287096228128,0.8988362020233793,0.9056212172222462,0.006785015198866873,0.010702485243849128,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,34,0.9087861907029058,0.9056212172222462,0.9119511641835654,0.006329946961319166,0.002755562340434125,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,35,0.9149038641671856,0.9119511641835654,0.9178565641508057,0.005905399967240377,0.015282586487503563,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,36,0.9206112277353655,0.9178565641508057,0.9233658913199254,0.005509327169119671,0.006412031508627177,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,37,0.9259358007269748,0.9233658913199254,0.9285057101340242,0.005139818814098751,0.00947655427374271,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,38,0.9309032567518615,0.9285057101340242,0.9333008033696988,0.004795093235674619,0.00025238248061074976,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,39,0.9355375475011982,0.9333008033696988,0.9377742916326977,0.00447348826299887,0.014168939158173324,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,40,0.9398610182358743,0.9377742916326977,0.941947744839051,0.004173453206353317,0.0058033805511771164,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,41,0.9438945155291281,0.941947744839051,0.9458412862192053,0.0038935413801542973,0.0018604826058345111,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,42,0.9476574877829242,0.9458412862192053,0.9494736893466432,0.0036324031274379553,0.022739512538578713,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,43,0.9511680790027379,0.9494736893466432,0.9528624686588327,0.003388779312189505,0.01873385245122272,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,44,0.9544432162829027,0.9528624686588327,0.9560239639069728,0.0031614952481400227,0.01417267455535406,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,45,0.9574986914243504,0.9560239639069728,0.958973418941728,0.0029494550347552995,0.001739567270317011,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,46,0.9603492370782825,0.958973418941728,0.9617250552148369,0.002751636273108815,0.012518745681578913,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,47,0.9630085977829161,0.9617250552148369,0.9642921403509954,0.0025670851361585534,0.012750785242509242,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,48,0.9654895962358243,0.9642921403509954,0.9666870521206533,0.0023949117696578925,0.006837160586635105,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,49,0.9678041951214166,0.9666870521206533,0.9689213381221798,0.002234286001526531,0.009965480845816064,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,50,0.9699635547916756,0.9689213381221798,0.9710057714611713,0.0020844333389914427,0.020244669488923464,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,51,0.9719780870782699,0.9710057714611713,0.9729504026953686,0.0019446312341973027,0.009497564968419848,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,52,0.9738575054955105,0.9729504026953686,0.9747646082956524,0.0018142056002837803,0.0177882258601541,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,53,0.9756108720762141,0.9747646082956524,0.9764571358567758,0.0016925275611234802,0.001938096018298769,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,54,0.9772466410663052,0.9764571358567758,0.9780361462758346,0.001579010419058724,0.007347453248124343,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,55,0.9787726996888381,0.9780361462758346,0.9795092531018416,0.0014731068260069868,0.020201276603651744,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,56,0.9801964061739923,0.9795092531018416,0.980883559246143,0.0013743061443014515,0.008630032495837868,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,57,0.981524625238412,0.980883559246143,0.9821656912306809,0.0012821319845378598,0.013807613885063701,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,58,0.9827637611849598,0.9821656912306809,0.9833618311392387,0.001196139908557825,0.020978256540551934,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,59,0.9839197887824841,0.9833618311392387,0.9844777464257295,0.0011159152864907984,0.037450475282799565,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,60,0.984998282074492,0.9844777464257295,0.9855188177232547,0.0010410712975251757,0.012750891682143897,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,61,0.9860044412556372,0.9855188177232547,0.9864900647880197,0.0009712470647650351,0.037845877840782596,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,62,0.9869431177456112,0.9864900647880197,0.9873961707032027,0.0009061059151830309,0.0032813194731577105,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,63,0.9878188375813406,0.9873961707032027,0.9882415044594784,0.0008453337562757124,0.0033124286378989048,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,64,0.9886358232402773,0.9882415044594784,0.9890301420210762,0.0007886375615977492,0.0045890734070861815,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
uniform1,jitter,0.05,200,40,200,0,65,0.9893980140000108,0.9890301420210762,0.9897658859789454,0.0007357439578692393,0.01964874333057528,density_abs,0.010084927459425675,0.013476761074545596,0.002556649874309258,522370.76714125555
