A,B,C,beta_idx,beta,rel_error
200,10,50,0,0.0,
200,10,50,1,0.005025125628140704,0.17364648354599063
200,10,50,2,0.010050251256281407,0.3531486404896091
200,10,50,3,0.01507537688442211,0.5683102218759801
200,10,50,4,0.020100502512562814,0.7860870173232275
200,10,50,5,0.02512562814070352,1.0722629469930371
200,10,50,6,0.03015075376884422,1.29630004108133
200,10,50,7,0.035175879396984924,1.6242582552579894
200,10,50,8,0.04020100502512563,2.0075892459703395
200,10,50,9,0.04522613065326633,2.279495577313668
200,10,50,10,0.05025125628140704,2.6309493211039485
200,10,50,11,0.05527638190954774,3.028238245215317
200,10,50,12,0.06030150753768844,3.205239062798288
200,10,50,13,0.06532663316582915,3.7706332996000693
200,10,50,14,0.07035175879396985,4.048478764017222
200,10,50,15,0.07537688442211056,4.3545327961562865
200,10,50,16,0.08040201005025126,4.729037530158184
200,10,50,17,0.08542713567839195,4.945328422125281
200,10,50,18,0.09045226130653267,5.7768869923037425
200,10,50,19,0.09547738693467336,5.477653153253946
200,10,50,20,0.10050251256281408,6.422043951472449
200,10,50,21,0.10552763819095477,6.32225737335876
200,10,50,22,0.11055276381909548,6.941672483659111
200,10,50,23,0.11557788944723618,6.286396184284029
200,10,50,24,0.12060301507537688,6.887006859645128
200,10,50,25,0.12562814070351758,7.516213784518662
200,10,50,26,0.1306532663316583,8.162387380204164
200,10,50,27,0.135678391959799,7.53208825668638
200,10,50,28,0.1407035175879397,6.323580619510782
200,10,50,29,0.1457286432160804,6.523716002699757
200,10,50,30,0.15075376884422112,6.453203811166853
200,10,50,31,0.15577889447236182,8.259015264566855
200,10,50,32,0.16080402010050251,8.412888069950277
200,10,50,33,0.1658291457286432,8.657966061730553
200,10,50,34,0.1708542713567839,6.904431465824148
200,10,50,35,0.17587939698492464,10.43573333663372
200,10,50,36,0.18090452261306533,14.03194565108461
200,10,50,37,0.18592964824120603,8.019980994417482
200,10,50,38,0.19095477386934673,8.448753441059353
200,10,50,39,0.19597989949748745,5.83918675422452
200,10,50,40,0.20100502512562815,9.824507984681258
200,10,50,41,0.20603015075376885,10.912163755754074
200,10,50,42,0.21105527638190955,12.779317729205918
200,10,50,43,0.21608040201005024,11.885528159485938
200,10,50,44,0.22110552763819097,8.446135690400842
200,10,50,45,0.22613065326633167,9.756578544742371
200,10,50,46,0.23115577889447236,9.361101616498942
200,10,50,47,0.23618090452261306,7.826631617048877
200,10,50,48,0.24120603015075376,6.277006272439313
200,10,50,49,0.24623115577889448,5.93205086356729
200,10,50,50,0.25125628140703515,13.653096685039056
200,10,50,51,0.2562814070351759,6.098293739873292
200,10,50,52,0.2613065326633166,11.198321169883227
200,10,50,53,0.2663316582914573,6.574460076739287
200,10,50,54,0.271356783919598,7.520625654556202
200,10,50,55,0.2763819095477387,10.863960944726132
200,10,50,56,0.2814070351758794,3.520966899873637
200,10,50,57,0.2864321608040201,6.918654455830767
200,10,50,58,0.2914572864321608,2.785064378797532
200,10,50,59,0.2964824120603015,5.309780349546907
200,10,50,60,0.30150753768844224,12.546187970552655
200,10,50,61,0.3065326633165829,8.11464043267379
200,10,50,62,0.31155778894472363,8.888741077578322
200,10,50,63,0.3165829145728643,6.273872728569747
200,10,50,64,0.32160804020100503,6.5070044094382995
200,10,50,65,0.32663316582914576,5.9553021277325175
200,10,50,66,0.3316582914572864,12.782973865055178
200,10,50,67,0.33668341708542715,7.900128546417476
200,10,50,68,0.3417085427135678,7.547807349398109
200,10,50,69,0.34673366834170855,8.494568038417372
200,10,50,70,0.35175879396984927,8.179332732316968
200,10,50,71,0.35678391959798994,13.059836248649681
200,10,50,72,0.36180904522613067,13.984215494644989
200,10,50,73,0.36683417085427134,13.159461181124954
200,10,50,74,0.37185929648241206,5.150593096367162
200,10,50,75,0.3768844221105528,5.846490697407347
200,10,50,76,0.38190954773869346,10.138873365265871
200,10,50,77,0.3869346733668342,9.0247307909008
200,10,50,78,0.3919597989949749,4.859773202333784
200,10,50,79,0.3969849246231156,4.526547779316431
200,10,50,80,0.4020100502512563,8.542523436945146
200,10,50,81,0.40703517587939697,9.704978157360998
200,10,50,82,0.4120603015075377,11.949171400201294
200,10,50,83,0.4170854271356784,6.80698683450893
200,10,50,84,0.4221105527638191,8.360791299267905
200,10,50,85,0.4271356783919598,9.31795483665287
200,10,50,86,0.4321608040201005,6.290188955947947
200,10,50,87,0.4371859296482412,4.184697471485433
200,10,50,88,0.44221105527638194,5.527978426594549
200,10,50,89,0.4472361809045226,5.500187161763655
200,10,50,90,0.45226130653266333,3.7149844354516186
200,10,50,91,0.457286432160804,6.935764031502541
200,10,50,92,0.4623115577889447,7.783756366025429
200,10,50,93,0.46733668341708545,8.525882623176232
200,10,50,94,0.4723618090452261,11.06218891169883
200,10,50,95,0.47738693467336685,5.752731348846451
200,10,50,96,0.4824120603015075,4.0959874058026395
200,10,50,97,0.48743718592964824,6.0279251767584245
200,10,50,98,0.49246231155778897,1.2299852045043542
200,10,50,99,0.49748743718592964,8.300229520848912
200,10,50,100,0.5025125628140703,11.715914305976243
200,10,50,101,0.507537688442211,7.985879405179408
200,10,50,102,0.5125628140703518,8.851412306505372
200,10,50,103,0.5175879396984925,1.927751508161429
200,10,50,104,0.5226130653266332,10.929083190337966
200,10,50,105,0.5276381909547738,4.624692598693898
200,10,50,106,0.5326633165829145,11.411909817632008
200,10,50,107,0.5376884422110553,4.802325954964738
200,10,50,108,0.542713567839196,10.886188879240773
200,10,50,109,0.5477386934673367,8.520930135283514
200,10,50,110,0.5527638190954774,13.874425168928665
200,10,50,111,0.5577889447236181,2.5679129960891878
200,10,50,112,0.5628140703517588,23.605675820798098
200,10,50,113,0.5678391959798995,17.227203876407806
200,10,50,114,0.5728643216080402,12.353167989563328
200,10,50,115,0.577889447236181,3.5799281558892937
200,10,50,116,0.5829145728643216,0.2756727486178445
200,10,50,117,0.5879396984924623,7.272931353628898
200,10,50,118,0.592964824120603,4.175280949244249
200,10,50,119,0.5979899497487438,1.4053060254400982
200,10,50,120,0.6030150753768845,17.210720681161934
200,10,50,121,0.6080402010050251,4.2589040447408015
200,10,50,122,0.6130653266331658,7.604081131076656
200,10,50,123,0.6180904522613065,12.005473049760445
200,10,50,124,0.6231155778894473,5.37017623066256
200,10,50,125,0.628140703517588,6.27798187212104
200,10,50,126,0.6331658291457286,12.92110499754289
200,10,50,127,0.6381909547738693,6.787868999529461
200,10,50,128,0.6432160804020101,4.678194844292653
200,10,50,129,0.6482412060301508,4.515658998199423
200,10,50,130,0.6532663316582915,5.106750636525898
200,10,50,131,0.6582914572864321,6.456996428637912
200,10,50,132,0.6633165829145728,4.41708294057886
