N,A,B,C,trial,Z_est,Z_std,rel_error,time_seconds
100000,5,5,4000,0,76.06889527521793,3.425265237439652,0.004384382433156798,1.4240498542785645
100000,5,5,4000,1,75.66946481572256,2.7836199762679477,0.0008895434459264142,1.3698430061340332
100000,5,5,4000,2,73.2999991076859,5.469823525839421,0.032175055654991715,1.380937099456787
100000,5,10,2000,0,77.67482250228662,4.084671076530362,0.02558842674530627,1.140672206878662
100000,5,10,2000,1,79.41024399009854,5.304201477014462,0.04850226337972703,1.1505990028381348
100000,5,10,2000,2,74.38496031924399,4.391727293136923,0.017849645873607572,1.141481876373291
100000,5,20,1000,0,77.0404389325889,5.740750265255379,0.01721227053097825,1.0289020538330078
100000,5,20,1000,1,74.13466265620045,7.1102533697211205,0.021154479772021617,1.0194249153137207
100000,5,20,1000,2,75.19461227009859,7.382319664940866,0.007159313488698761,1.0810120105743408
100000,5,25,800,0,76.06151951235891,6.605552605579069,0.004286995702387005,0.9969263076782227
100000,5,25,800,1,74.79241780180035,6.646975958112881,0.012469734274990324,0.9901361465454102
100000,5,25,800,2,78.17110853527885,8.333936754435282,0.032141196296561925,1.0010039806365967
100000,5,50,400,0,74.05330232777361,6.748033190831521,0.02222873019889974,0.9525208473205566
100000,5,50,400,1,77.05939291338892,6.75851871315173,0.017462531590135246,0.9502840042114258
100000,5,50,400,2,76.03264394657243,7.14807809629365,0.0039057338580427447,0.9690382480621338
100000,5,100,200,0,76.4651252702761,7.648392478487187,0.009616050613010758,0.9466021060943604
100000,5,100,200,1,75.39095247418042,7.915328697528572,0.004566913087587914,0.9223799705505371
100000,5,100,200,2,76.59831690004968,7.553376645364026,0.011374661571292707,0.9186108112335205
100000,5,200,100,0,76.51311869070116,7.0662796852287855,0.01024973724353267,0.919529914855957
100000,5,200,100,1,76.54665856159541,6.856311347284651,0.010692584775275104,0.9087679386138916
100000,5,200,100,2,75.42445379492781,6.7043972144337065,0.004124574557130444,0.9080960750579834
100000,10,5,2000,0,78.55563644907309,3.6186580117022356,0.037218354704439634,1.5777320861816406
100000,10,5,2000,1,77.13475267420117,2.8601281866398756,0.01845755283436223,1.5437870025634766
100000,10,5,2000,2,74.3513541019378,5.267226483577764,0.018293369417808753,1.6126031875610352
100000,10,10,1000,0,77.12558519442844,3.538308824361327,0.018336508963846084,1.2929589748382568
100000,10,10,1000,1,75.92188658139534,4.9405689655929494,0.002443336285147271,1.2816221714019775
100000,10,10,1000,2,77.40855122107784,3.714546601399422,0.022072683347574996,1.2822797298431396
100000,10,20,500,0,76.38868355125925,4.375256940515543,0.008606743609549038,1.2092218399047852
100000,10,20,500,1,75.39878593870897,4.188159655333711,0.0044634830403347085,1.150669813156128
