tensor_type,n_sites,dim,N,A,B,C,seed,Z_est,Z_std,Z_true,rel_error,time_seconds
diagexp,16,3,100000,20,5,1000,11,1.088600402285764e-08,6.0121454685912155e-09,1.0000677333820351,0.9999999891147332,1.729384183883667
diagexp,16,3,100000,20,5,1000,23,5.508577639502725e-09,7.363344328717275e-09,1.0000677333820351,0.9999999944917954,1.5353968143463135
diagexp,16,3,100000,20,5,1000,42,1.3574717214535099e-08,1.849632079338486e-24,1.0000677333820351,0.9999999864262022,1.546015977859497
diagexp,16,3,100000,20,5,1000,77,1.088600402285764e-08,6.012145468591216e-09,1.0000677333820351,0.9999999891147332,1.494049072265625
diagexp,16,3,100000,20,5,1000,101,1.088600402285764e-08,6.012145468591216e-09,1.0000677333820351,0.9999999891147332,1.6155109405517578
diagexp,16,3,100000,20,10,500,11,1.0873015608184364e-08,5.6957693630751714e-09,1.0000677333820351,0.9999999891277208,1.2806322574615479
diagexp,16,3,100000,20,10,500,23,9.516620644867972e-09,6.5342450101386456e-09,1.0000677333820351,0.999999990484024,1.2265689373016357
diagexp,16,3,100000,20,10,500,42,8.172059992849167e-09,6.974927467012182e-09,1.0000677333820351,0.9999999918284935,1.2310378551483154
diagexp,16,3,100000,20,10,500,77,1.088600402285764e-08,5.66830510709443e-09,1.0000677333820351,0.9999999891147332,1.2159979343414307
diagexp,16,3,100000,20,10,500,101,8.17181480127309e-09,6.975246479194415e-09,1.0000677333820351,0.9999999918287387,1.199815034866333
diagexp,16,3,100000,20,20,250,11,4.0758354078654e-09,6.380024770819624e-09,1.0000677333820351,0.9999999959244406,1.048724889755249
diagexp,16,3,100000,20,20,250,23,4.766756083267861e-09,6.631290398171505e-09,1.0000677333820351,0.9999999952335668,1.0441408157348633
diagexp,16,3,100000,20,20,250,42,6.789763936755816e-09,6.9612158649122305e-09,1.0000677333820351,0.999999993210696,1.0707452297210693
diagexp,16,3,100000,20,20,250,77,6.801473599222121e-09,6.949301906452563e-09,1.0000677333820351,0.999999993198987,1.0659329891204834
diagexp,16,3,100000,20,20,250,101,7.47408601139876e-09,6.919767969884294e-09,1.0000677333820351,0.9999999925264202,1.058945894241333
diagexp,16,3,100000,20,25,200,11,2.724282635348386e-09,5.537147375220236e-09,1.0000677333820351,0.9999999972759019,1.0314602851867676
diagexp,16,3,100000,20,25,200,23,5.975455731278129e-09,6.874928026094108e-09,1.0000677333820351,0.999999994024949,1.0332200527191162
diagexp,16,3,100000,20,25,200,42,5.4367135024279e-09,6.781717496356389e-09,1.0000677333820351,0.9999999945636547,1.1442952156066895
diagexp,16,3,100000,20,25,200,77,5.432144923196736e-09,6.78547796669402e-09,1.0000677333820351,0.999999994568223,1.0330002307891846
diagexp,16,3,100000,20,25,200,101,3.267278769984608e-09,5.911775366149326e-09,1.0000677333820351,0.9999999967329426,1.0429282188415527
diagexp,16,3,100000,20,50,100,11,5.448150554812559e-10,2.686723443984897e-09,1.0000677333820351,0.9999999994552218,0.9688999652862549
diagexp,16,3,100000,20,50,100,23,8.191945258948803e-10,3.255398027581382e-09,1.0000677333820351,0.999999999180861,1.0449938774108887
diagexp,16,3,100000,20,50,100,42,1.6312935308429945e-09,4.455180220209381e-09,1.0000677333820351,0.9999999983688169,1.0696089267730713
diagexp,16,3,100000,20,50,100,77,1.9039104090671705e-09,4.756702051768374e-09,1.0000677333820351,0.9999999980962185,0.9928140640258789
diagexp,16,3,100000,20,50,100,101,1.0931892938015219e-09,3.718058796118306e-09,1.0000677333820351,0.9999999989068847,0.969799280166626
diagexp,16,3,100000,20,100,50,11,4.07948549626935e-10,2.327215728361003e-09,1.0000677333820351,0.9999999995920791,1.0319929122924805
diagexp,16,3,100000,20,100,50,23,2.725983241000573e-10,1.9098788838647173e-09,1.0000677333820351,0.99999999972742,0.9582071304321289
diagexp,16,3,100000,20,100,50,42,6.801652025768429e-10,2.973145072799165e-09,1.0000677333820351,0.9999999993198808,0.9581899642944336
diagexp,16,3,100000,20,100,50,77,4.0796062988336766e-10,2.32721386860151e-09,1.0000677333820351,0.9999999995920671,1.0823800563812256
diagexp,16,3,100000,20,100,50,101,5.436199203752218e-10,2.673363260070936e-09,1.0000677333820351,0.999999999456417,0.945483922958374
diagexp,16,3,100000,20,200,25,11,1.048048392969326e-15,1.2544790311750476e-14,1.0000677333820351,0.9999999999999989,0.9153292179107666
diagexp,16,3,100000,20,200,25,23,7.335904317880233e-13,9.319001599543288e-12,1.0000677333820351,0.9999999999992664,0.9215896129608154
diagexp,16,3,100000,20,200,25,42,7.214491697001568e-14,9.674299916453488e-13,1.0000677333820351,0.9999999999999278,0.9985249042510986
diagexp,16,3,100000,20,200,25,77,5.4043524570118926e-14,7.173171905578684e-13,1.0000677333820351,0.999999999999946,0.9188287258148193
diagexp,16,3,100000,20,200,25,101,6.66590944115288e-13,9.274014570086767e-12,1.0000677333820351,0.9999999999993334,0.9156010150909424
diagexp,16,3,100000,50,5,400,11,0.36927589352925716,0.8185844071397104,1.0000677333820351,0.6307491170818623,1.6066570281982422
diagexp,16,3,100000,50,5,400,23,1.4668671122403019,0.8199987440308335,1.0000677333820351,0.46676776309904705,1.5478730201721191
diagexp,16,3,100000,50,5,400,42,0.7346982818777509,1.0031419768226082,1.0000677333820351,0.2653514783512275,1.5121018886566162
diagexp,16,3,100000,50,5,400,77,1.8335816988637805,0.0,1.0000677333820351,0.8334575125856354,1.5158700942993164
diagexp,16,3,100000,50,5,400,101,0.7355569892319498,1.0023579073115676,1.0000677333820351,0.26449282915624256,1.545417070388794
diagexp,16,3,100000,50,10,200,11,0.5503087399956198,0.8855427573350115,1.0000677333820351,0.4497285317519621,1.2313756942749023
diagexp,16,3,100000,50,10,200,23,0.18551351736557953,0.5790879190186332,1.0000677333820351,0.8144990472413216,1.2249863147735596
diagexp,16,3,100000,50,10,200,42,0.18642415786406388,0.5787661355365953,1.0000677333820351,0.8135884684194205,1.2308659553527832
diagexp,16,3,100000,50,10,200,77,1.100615759722427,0.946255827780932,1.0000677333820351,0.10054121634377505,1.2258222103118896
diagexp,16,3,100000,50,10,200,101,0.0028084396115313315,0.004331373752436025,1.0000677333820351,0.9971917506006981,1.2396869659423828
diagexp,16,3,100000,50,20,100,11,0.09285586159865454,0.40973280061074235,1.0000677333820351,0.907150427416917,1.0822069644927979
diagexp,16,3,100000,50,20,100,23,0.09289097048708038,0.4097272266795575,1.0000677333820351,0.9071153209063738,1.1757218837738037
diagexp,16,3,100000,50,20,100,42,0.27659957600572654,0.6710608094809905,1.0000677333820351,0.7234191577501252,1.081319808959961
diagexp,16,3,100000,50,20,100,77,0.0007340894704014726,0.0022673910752449276,1.0000677333820351,0.9992659602485935,1.0912830829620361
diagexp,16,3,100000,50,20,100,101,0.000817636287057809,0.00226324510779892,1.0000677333820351,0.9991824190904623,1.1015949249267578
diagexp,16,3,100000,50,25,80,11,0.0001269159087627641,0.00036995467498253496,1.0000677333820351,0.9998730926870987,1.056626796722412
diagexp,16,3,100000,50,25,80,23,0.14752357886501688,0.5074488627274991,1.0000677333820351,0.8524864127291452,1.056941032409668
diagexp,16,3,100000,50,25,80,42,0.1474935109830715,0.5074585598639111,1.0000677333820351,0.8525164785746291,1.1555531024932861
diagexp,16,3,100000,50,25,80,77,0.00044477846883640064,0.0021885959255365274,1.0000677333820351,0.9995552516554731,1.0708191394805908
diagexp,16,3,100000,50,25,80,101,0.07356916837960514,0.3666709955187903,1.0000677333820351,0.9264358143714841,1.0648598670959473
diagexp,16,3,100000,50,50,40,11,0.07356608830724945,0.36291240135849273,1.0000677333820351,0.9264388942352303,1.0954840183258057
diagexp,16,3,100000,50,50,40,23,0.07351679692670865,0.3629206564678371,1.0000677333820351,0.9264881822773252,1.0321452617645264
diagexp,16,3,100000,50,50,40,42,0.00031189057547265775,0.0014728122642157558,1.0000677333820351,0.9996881305485,1.0262188911437988
diagexp,16,3,100000,50,50,40,77,0.00020159735758666322,0.0013850234532290118,1.0000677333820351,0.9997984162963593,1.0205028057098389
diagexp,16,3,100000,50,50,40,101,0.03667223529399729,0.25930752386019895,1.0000677333820351,0.963330248472292,1.0140740871429443
diagexp,16,3,100000,50,100,20,11,2.3692552064101938e-06,1.5106490960098418e-05,1.0000677333820351,0.9999976309052603,0.9941718578338623
diagexp,16,3,100000,50,100,20,23,1.217801999910098e-07,1.1207274145655066e-06,1.0000677333820351,0.9999998782280481,0.9834802150726318
diagexp,16,3,100000,50,100,20,42,5.447047976130947e-07,5.234926163947444e-06,1.0000677333820351,0.9999994553320944,1.0477259159088135
diagexp,16,3,100000,50,100,20,77,9.815657938750224e-08,7.775789989525619e-07,1.0000677333820351,0.9999999018500687,0.9843189716339111
